[min90] hizli tarama basladi
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/knn] min=0.9638 acc=0.9756 auc=0.9948
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/svm_rbf] min=0.9693 acc=0.9720 auc=0.9984
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/random_forest] min=0.9711 acc=0.9747 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/extra_trees] min=0.9765 acc=0.9774 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/gradient_boosting] min=0.9747 acc=0.9747 auc=0.9977
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/hist_gradient_boosting] min=0.9656 acc=0.9720 auc=0.9974
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/adaboost] min=0.9711 acc=0.9756 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/mlp] min=0.9656 acc=0.9729 auc=0.9959
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/xgboost] min=0.9729 acc=0.9765 auc=0.9977
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/lightgbm] min=0.9656 acc=0.9756 auc=0.9973
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/soft_voting_rf_et_hgb] min=0.9693 acc=0.9729 auc=0.9980
[min90/min90_sentetik_2700_per_class_pima/high_signal_features/soft_voting_xgb_lgbm_et] min=0.9711 acc=0.9774 auc=0.9979
[min90/min90_sentetik_3000_per_class_pima/all_features/logistic_regression] min=0.9650 acc=0.9747 auc=0.9950
[min90/min90_sentetik_3000_per_class_pima/all_features/gaussian_nb] min=0.9603 acc=0.9731 auc=0.9917
